Store_Dept_Date,Weekly_Sales
1_6_2012-11-16,3600.0901
1_7_2012-11-16,25674.9239
1_8_2012-11-16,36737.9166
1_9_2012-11-16,33957.1086
1_10_2012-11-16,32262.6054
1_11_2012-11-16,26970.0744
1_12_2012-11-16,8660.5538
1_13_2012-11-16,37966.9708
1_14_2012-11-16,17270.6275
1_16_2012-11-16,5857.1779
1_17_2012-11-16,9459.7756
1_18_2012-11-16,12911.0667
1_19_2012-11-16,949.8774
1_20_2012-11-16,3448.8396
1_21_2012-11-16,8377.1193
1_22_2012-11-16,7402.2331
1_23_2012-11-16,23049.8879
1_24_2012-11-16,6791.9617
1_25_2012-11-16,10543.5998
1_26_2012-11-16,7460.6744
1_27_2012-11-16,1827.0652
1_28_2012-11-16,726.3103
1_29_2012-11-16,5681.1058
1_30_2012-11-16,2324.1266
1_31_2012-11-16,1591.6198
1_32_2012-11-16,5580.0193
1_33_2012-11-16,6041.4045
1_34_2012-11-16,12159.8843
1_35_2012-11-16,2576.5523
1_36_2012-11-16,1917.0024
1_37_2012-11-16,2689.7245
1_38_2012-11-16,77503.8199
1_40_2012-11-16,59799.7708
1_41_2012-11-16,1334.6889
1_42_2012-11-16,7660.7568
1_44_2012-11-16,6363.364
1_46_2012-11-16,17783.8363
1_48_2012-11-16,2263.53
1_49_2012-11-16,10072.3209
1_52_2012-11-16,2116.7659
1_54_2012-11-16,42.4398
1_55_2012-11-16,18891.5292
1_56_2012-11-16,1128.0253
1_58_2012-11-16,3827.5194
1_59_2012-11-16,762.2122
1_60_2012-11-16,899.336
1_67_2012-11-16,6946.0286
1_71_2012-11-16,2479.5252
1_72_2012-11-16,42714.7323
1_74_2012-11-16,9759.3372
1_79_2012-11-16,32412.3964
1_80_2012-11-16,19142.7987
1_81_2012-11-16,30291.9415
1_82_2012-11-16,20356.9705
1_83_2012-11-16,5807.0419
1_85_2012-11-16,3196.6636
1_87_2012-11-16,48877.3181
1_90_2012-11-16,93786.405
1_91_2012-11-16,68231.475
1_92_2012-11-16,100000
1_93_2012-11-16,83256.7095
1_94_2012-11-16,61433.4477
1_95_2012-11-16,100000
1_96_2012-11-16,32620.5147
1_97_2012-11-16,36777.1714
1_98_2012-11-16,14577.5707
1_1_2012-11-23,20650.0206
1_2_2012-11-23,48175.329
1_3_2012-11-23,9888.8014
1_4_2012-11-23,43907.2288
1_5_2012-11-23,71766.8777
1_6_2012-11-23,20832.3018
1_7_2012-11-23,80272.4025
1_8_2012-11-23,36372.8471
1_9_2012-11-23,40539.075
1_10_2012-11-23,30756.2144
1_11_2012-11-23,28401.6312
1_12_2012-11-23,9215.5901
1_13_2012-11-23,37833.1196
1_14_2012-11-23,51290.2823
1_16_2012-11-23,8199.9302
1_17_2012-11-23,12526.0965
1_18_2012-11-23,25937.2202
1_19_2012-11-23,1090.6649
1_20_2012-11-23,5054.4588
1_21_2012-11-23,9651.7809
1_22_2012-11-23,17749.6798
1_23_2012-11-23,30387.2239
1_24_2012-11-23,14496.3944
1_25_2012-11-23,11869.7252
1_26_2012-11-23,9685.5479
1_27_2012-11-23,2098.9287
1_28_2012-11-23,846.3576
1_29_2012-11-23,5812.174
1_30_2012-11-23,2637.2488
1_31_2012-11-23,1593.8074
1_32_2012-11-23,9569.072
1_33_2012-11-23,10885.3004
1_34_2012-11-23,14347.411
1_35_2012-11-23,2983.4925
1_36_2012-11-23,2295.0315
1_37_2012-11-23,2707.5804
1_38_2012-11-23,63057.9278
1_40_2012-11-23,59808.6878
1_41_2012-11-23,2443.956
1_42_2012-11-23,7476.0423
1_44_2012-11-23,7354.2389
1_46_2012-11-23,18350.8105
1_48_2012-11-23,3272.2389
1_49_2012-11-23,9309.246
1_52_2012-11-23,3500.4603
1_54_2012-11-23,51.3298
1_55_2012-11-23,36281.5369
1_56_2012-11-23,1453.5156
1_58_2012-11-23,4290.1697
1_59_2012-11-23,1283.3765
1_60_2012-11-23,915.502
1_67_2012-11-23,6803.4211
1_71_2012-11-23,4718.0128
1_72_2012-11-23,94754.9232
1_74_2012-11-23,18089.6999
1_79_2012-11-23,31832.5929
1_80_2012-11-23,18568.6141
1_81_2012-11-23,30284.6346
1_82_2012-11-23,22375.9788
1_83_2012-11-23,5116.299
1_85_2012-11-23,3755.2313
1_87_2012-11-23,47667.8291
1_90_2012-11-23,95279.9558
1_91_2012-11-23,60479.7698
1_92_2012-11-23,100000
1_93_2012-11-23,83128.6014
1_94_2012-11-23,68104.1797
1_95_2012-11-23,100000
1_96_2012-11-23,38876.6803
1_97_2012-11-23,34386.8378
1_98_2012-11-23,19151.8847
1_99_2012-11-23,2709.6002
1_1_2012-11-30,33807.1286
1_2_2012-11-30,48040.0088
1_3_2012-11-30,9967.7428
1_4_2012-11-30,43420.6684
1_5_2012-11-30,51763.5297
1_6_2012-11-30,8528.6131
1_7_2012-11-30,50224.3019
1_8_2012-11-30,37409.6543
1_9_2012-11-30,39386.7435
1_10_2012-11-30,30601.6426
1_11_2012-11-30,26712.0093
1_12_2012-11-30,8216.2868
1_13_2012-11-30,37048.5538
1_14_2012-11-30,35520.5932
1_16_2012-11-30,7151.9025
1_17_2012-11-30,10873.8352
1_18_2012-11-30,25448.1539
1_19_2012-11-30,1197.2715
1_20_2012-11-30,4235.5792
1_21_2012-11-30,8764.7044
1_22_2012-11-30,12395.9859
1_23_2012-11-30,25472.9523
1_24_2012-11-30,10343.6287
1_25_2012-11-30,11309.9787
1_26_2012-11-30,6980.1737
1_27_2012-11-30,1830.24
1_28_2012-11-30,860.4708
1_29_2012-11-30,5865.3939
1_30_2012-11-30,2561.8542
1_31_2012-11-30,1552.2237
1_32_2012-11-30,7126.7034
1_33_2012-11-30,7526.7391
1_34_2012-11-30,13364.1304
1_35_2012-11-30,2712.2471
1_36_2012-11-30,1947.9036
1_37_2012-11-30,2515.9837
1_38_2012-11-30,68344.4536
1_40_2012-11-30,59130.0206
1_41_2012-11-30,2102.7545
1_42_2012-11-30,7299.0611
1_44_2012-11-30,6910.6456
1_45_2012-11-30,32.371
1_46_2012-11-30,17413.2378
1_48_2012-11-30,2680.4896
1_49_2012-11-30,9196.0241
1_52_2012-11-30,2712.8485
1_54_2012-11-30,65.2558
1_55_2012-11-30,29113.4185
1_56_2012-11-30,984.3089
1_58_2012-11-30,4030.37
1_59_2012-11-30,1601.2424
1_60_2012-11-30,948.342
1_67_2012-11-30,7588.5341
1_71_2012-11-30,3521.7971
1_72_2012-11-30,57167.1114
1_74_2012-11-30,10522.4849
1_79_2012-11-30,30593.9964
1_80_2012-11-30,18188.5184
1_81_2012-11-30,29351.8272
1_82_2012-11-30,20925.92
1_83_2012-11-30,4940.7629
1_85_2012-11-30,3789.3624
1_87_2012-11-30,47456.2342
1_90_2012-11-30,87090.1932
1_91_2012-11-30,58555.047
1_92_2012-11-30,100000
1_93_2012-11-30,75151.6424
1_94_2012-11-30,68222.5202
1_95_2012-11-30,99607.8954
1_96_2012-11-30,35655.5168
1_97_2012-11-30,32840.5899
1_98_2012-11-30,15589.208
1_99_2012-11-30,3023.795
1_1_2012-12-07,53036.7066
1_2_2012-12-07,49155.1925
1_3_2012-12-07,13276.0707
1_4_2012-12-07,39718.1381
1_5_2012-12-07,53910.1893
1_6_2012-12-07,9119.7085
1_7_2012-12-07,63405.6036
1_8_2012-12-07,52099.9318
1_9_2012-12-07,37541.0254
1_10_2012-12-07,30777.2435
1_11_2012-12-07,30732.5373
1_12_2012-12-07,10615.8948
1_13_2012-12-07,41278.6392
1_14_2012-12-07,38226.7838
1_16_2012-12-07,9155.5765
1_17_2012-12-07,19100.8266
1_18_2012-12-07,66748.0505
1_19_2012-12-07,1391.7475
1_20_2012-12-07,4756.5787
1_21_2012-12-07,9676.2361
1_22_2012-12-07,10813.0244
1_23_2012-12-07,45107.4111
1_24_2012-12-07,13726.8796
1_25_2012-12-07,12084.4113
1_26_2012-12-07,8329.7453
1_27_2012-12-07,5480.577
1_28_2012-12-07,778.1511
1_29_2012-12-07,10510.9362
1_30_2012-12-07,2507.5981
1_31_2012-12-07,4393.4622
1_32_2012-12-07,25605.0318
1_33_2012-12-07,18543.7653
1_34_2012-12-07,13305.5079
1_35_2012-12-07,2782.324
1_36_2012-12-07,2000.4873
1_37_2012-12-07,2783.667
1_38_2012-12-07,81439.7408
1_40_2012-12-07,61365.6766
1_41_2012-12-07,1705.4746
1_42_2012-12-07,7302.5763
1_44_2012-12-07,7098.3218
1_45_2012-12-07,20.7113
1_46_2012-12-07,40334.6542
1_48_2012-12-07,1735.0398
1_49_2012-12-07,10158.0093
1_52_2012-12-07,2793.3687
1_54_2012-12-07,81.4248
1_55_2012-12-07,20014.8969
1_56_2012-12-07,1845.1873
1_58_2012-12-07,4210.1085
1_59_2012-12-07,4843.2763
1_60_2012-12-07,1460.632
1_67_2012-12-07,10031.1229
1_71_2012-12-07,2670.7445
1_72_2012-12-07,60839.4541
1_74_2012-12-07,10153.423
1_79_2012-12-07,43155.2067
1_80_2012-12-07,20494.2279
1_81_2012-12-07,32628.9439
1_82_2012-12-07,44827.9496
1_83_2012-12-07,6046.4248
1_85_2012-12-07,5513.6469
1_87_2012-12-07,58599.7735
1_90_2012-12-07,95339.02
1_91_2012-12-07,71503.8146
1_92_2012-12-07,100000
1_93_2012-12-07,84786.7236
1_94_2012-12-07,61459.3954
1_95_2012-12-07,100000
1_96_2012-12-07,36013.3425
1_97_2012-12-07,38525.6854
1_98_2012-12-07,13514.4174
1_99_2012-12-07,1663.457
1_1_2012-12-14,43808.6907
1_2_2012-12-14,48647.7632
1_3_2012-12-14,12122.5216
1_4_2012-12-14,38359.9362
1_5_2012-12-14,43644.8719
1_6_2012-12-14,7964.4958
1_7_2012-12-14,60503.511
1_8_2012-12-14,36973.9642
1_9_2012-12-14,28542.0424
1_10_2012-12-14,29582.1887
1_11_2012-12-14,30566.9197
1_12_2012-12-14,7786.6776
1_13_2012-12-14,36951.7418
1_14_2012-12-14,24943.9776
1_16_2012-12-14,5137.2525
1_17_2012-12-14,11267.1202
1_18_2012-12-14,32775.5934
1_19_2012-12-14,1454.72
1_20_2012-12-14,3258.5576
1_21_2012-12-14,9573.6534
1_22_2012-12-14,11093.3981
1_23_2012-12-14,32414.9592
1_24_2012-12-14,11031.4924
1_25_2012-12-14,11060.6301
1_26_2012-12-14,8185.0923
1_27_2012-12-14,3070.5056
1_28_2012-12-14,774.8981
1_29_2012-12-14,7521.9817
1_30_2012-12-14,2363.8733
1_31_2012-12-14,3899.5268
1_32_2012-12-14,15105.3497
1_33_2012-12-14,11028.5986
1_34_2012-12-14,13295.6372
1_35_2012-12-14,2820.4967
1_36_2012-12-14,2485.1347
1_37_2012-12-14,2487.0333
1_38_2012-12-14,75391.3964
1_40_2012-12-14,60642.8702
1_41_2012-12-14,1592.4629
1_42_2012-12-14,6664.689
1_44_2012-12-14,6682.8797
1_46_2012-12-14,29945.8269
1_48_2012-12-14,1850.8699
1_49_2012-12-14,9897.6071
1_52_2012-12-14,2724.4989
1_54_2012-12-14,57.5778
1_55_2012-12-14,21282.1095
1_56_2012-12-14,1513.7355
1_58_2012-12-14,4424.6897
1_59_2012-12-14,3742.7975
1_60_2012-12-14,1482.542
1_67_2012-12-14,8884.4868
1_71_2012-12-14,2602.265
1_72_2012-12-14,57997.2714
1_74_2012-12-14,9415.4589
1_79_2012-12-14,32631.6134
1_80_2012-12-14,19205.2895
1_81_2012-12-14,30613.041
1_82_2012-12-14,29548.0054
1_83_2012-12-14,5834.2167
1_85_2012-12-14,5717.9487
1_87_2012-12-14,47372.8197
1_90_2012-12-14,94321.7433
1_91_2012-12-14,68288.6646
1_92_2012-12-14,100000
1_93_2012-12-14,79480.0052
1_94_2012-12-14,56787.6873
1_95_2012-12-14,100000
1_96_2012-12-14,32172.3418
1_97_2012-12-14,36553.8703
1_98_2012-12-14,14475.1198
1_99_2012-12-14,994.8176
1_1_2012-12-21,58654.3794
1_2_2012-12-21,55237.2124
1_3_2012-12-21,13251.7966
1_4_2012-12-21,40945.1175
1_5_2012-12-21,63054.8761
1_6_2012-12-21,15108.745
1_7_2012-12-21,87027.465
1_8_2012-12-21,47732.0813
1_9_2012-12-21,36638.0505
1_10_2012-12-21,31101.3051
1_11_2012-12-21,29611.514
1_12_2012-12-21,9788.5621
1_13_2012-12-21,37171.1327
1_14_2012-12-21,41752.4159
1_16_2012-12-21,6422.1004
1_17_2012-12-21,18783.1031
1_18_2012-12-21,40297.9114
1_19_2012-12-21,1668.7839
1_20_2012-12-21,4073.4272
1_21_2012-12-21,11008.061
1_22_2012-12-21,13919.486
1_23_2012-12-21,54380.8299
1_24_2012-12-21,14413.3471
1_25_2012-12-21,13042.5839
1_26_2012-12-21,9820.7774
1_27_2012-12-21,6194.3621
1_28_2012-12-21,899.8504
1_29_2012-12-21,11071.708
1_30_2012-12-21,2291.5543
1_31_2012-12-21,5955.2632
1_32_2012-12-21,46542.1329
1_33_2012-12-21,17144.8784
1_34_2012-12-21,13091.4417
1_35_2012-12-21,2986.8709
1_36_2012-12-21,3280.8719
1_37_2012-12-21,2703.5532
1_38_2012-12-21,70348.8593
1_40_2012-12-21,60386.9666
1_41_2012-12-21,2469.363
1_42_2012-12-21,7073.7768
1_44_2012-12-21,7157.2556
1_46_2012-12-21,47504.5691
1_47_2012-12-21,-84.2861
1_48_2012-12-21,2110.8609
1_49_2012-12-21,9881.7295
1_52_2012-12-21,2733.0531
1_54_2012-12-21,100.6798
1_55_2012-12-21,25475.9167
1_56_2012-12-21,1012.7643
1_58_2012-12-21,4151.7397
1_59_2012-12-21,8609.4505
1_60_2012-12-21,1392.316
1_67_2012-12-21,12417.1866
1_71_2012-12-21,2986.2651
1_72_2012-12-21,68771.2499
1_74_2012-12-21,13150.4571
1_79_2012-12-21,31754.5487
1_80_2012-12-21,19923.1051
1_81_2012-12-21,30677.0553
1_82_2012-12-21,53747.8906
1_83_2012-12-21,5766.2175
1_85_2012-12-21,6735.1833
1_87_2012-12-21,48735.4356
1_90_2012-12-21,90822.6298
1_91_2012-12-21,63616.702
1_92_2012-12-21,100000
1_93_2012-12-21,81991.2266
1_94_2012-12-21,67563.5867
1_95_2012-12-21,100000
1_96_2012-12-21,37303.221
1_97_2012-12-21,37262.5516
1_98_2012-12-21,16300.8126
1_99_2012-12-21,1706.065
1_1_2012-12-28,21429.4445
1_2_2012-12-28,48141.5586
1_3_2012-12-28,10610.5929
1_4_2012-12-28,40506.2639
1_5_2012-12-28,58414.3497
1_6_2012-12-28,16015.6176
1_7_2012-12-28,49102.5912
1_8_2012-12-28,37007.9397
1_9_2012-12-28,31617.9525
1_10_2012-12-28,31800.0993
1_11_2012-12-28,26974.418
1_12_2012-12-28,8052.1435
1_13_2012-12-28,36785.4196
1_14_2012-12-28,41516.4417
1_16_2012-12-28,5341.2528
1_17_2012-12-28,11814.3533
1_18_2012-12-28,18612.0823
1_19_2012-12-28,1736.3704
1_20_2012-12-28,4614.728
1_21_2012-12-28,8502.8048
1_22_2012-12-28,13997.2712
1_23_2012-12-28,26910.0239
1_24_2012-12-28,14172.334
1_25_2012-12-28,11040.0811
1_26_2012-12-28,10169.3587
1_27_2012-12-28,2325.2484
1_28_2012-12-28,785.6393
1_29_2012-12-28,7541.7355
1_30_2012-12-28,2400.654
1_31_2012-12-28,2276.8626
1_32_2012-12-28,12222.7632
1_33_2012-12-28,5594.5688
1_34_2012-12-28,11648.9712
1_35_2012-12-28,2862.0133
1_36_2012-12-28,2669.1603
1_37_2012-12-28,2639.5707
1_38_2012-12-28,68767.3095
1_40_2012-12-28,58558.4986
1_41_2012-12-28,2342.6744
1_42_2012-12-28,7140.854
1_44_2012-12-28,7115.398
1_46_2012-12-28,26944.3798
1_48_2012-12-28,2698.7059
1_49_2012-12-28,11526.7226
1_52_2012-12-28,2571.8442
1_54_2012-12-28,85.7012
1_55_2012-12-28,36111.7306
1_56_2012-12-28,720.8871
1_58_2012-12-28,3603.5694
1_59_2012-12-28,5035.5791
1_60_2012-12-28,691.24
1_67_2012-12-28,8093.5342
1_71_2012-12-28,3803.3112
1_72_2012-12-28,80515.0923
1_74_2012-12-28,13700.6877
1_79_2012-12-28,29233.3305
1_80_2012-12-28,18041.5583
1_81_2012-12-28,28411.1051
1_82_2012-12-28,36460.2277
1_83_2012-12-28,4945.7016
1_85_2012-12-28,4611.2868
1_87_2012-12-28,48354.9692
1_90_2012-12-28,83109.9173
1_91_2012-12-28,55322.1911
1_92_2012-12-28,100000
1_93_2012-12-28,58803.9185
1_94_2012-12-28,53245.6364
1_95_2012-12-28,96148.1678
1_96_2012-12-28,37033.4395
1_97_2012-12-28,33417.8259
1_98_2012-12-28,15007.894
1_99_2012-12-28,579.2305
1_1_2013-01-04,17539.5767
1_2_2013-01-04,46786.0615
1_3_2013-01-04,13104.7157
1_4_2013-01-04,38136.2388
1_5_2013-01-04,26031.7286
1_6_2013-01-04,2630.5608
1_7_2013-01-04,11933.2126
1_8_2013-01-04,38938.4158
1_9_2013-01-04,18054.9932
1_10_2013-01-04,27199.4796
1_11_2013-01-04,24141.5379
1_12_2013-01-04,7888.8776
1_13_2013-01-04,40197.0114
1_14_2013-01-04,14334.9926
1_16_2013-01-04,5998.6892
1_17_2013-01-04,8626.2174
1_18_2013-01-04,7021.5973
1_19_2013-01-04,895.1152
1_20_2013-01-04,3474.6413
1_21_2013-01-04,7502.6098
1_22_2013-01-04,8195.3482
1_23_2013-01-04,17775.0485
1_24_2013-01-04,6731.9242
1_25_2013-01-04,6690.0983
1_26_2013-01-04,4474.7554
1_27_2013-01-04,1993.6434
1_28_2013-01-04,747.8426
1_29_2013-01-04,4829.6192
1_30_2013-01-04,2734.686
1_31_2013-01-04,2965.0933
1_32_2013-01-04,4510.9548
1_33_2013-01-04,3816.6037
1_34_2013-01-04,8380.1463
1_35_2013-01-04,2038.8335
1_36_2013-01-04,1128.4629
1_37_2013-01-04,3120.5562
1_38_2013-01-04,89637.9785
1_40_2013-01-04,64432.1363
1_41_2013-01-04,411.9494
1_42_2013-01-04,7668.3487
1_44_2013-01-04,4243.8226
1_46_2013-01-04,16270.0251
1_48_2013-01-04,908.55
1_49_2013-01-04,10772.2538
1_52_2013-01-04,1766.1134
1_54_2013-01-04,35.5138
1_55_2013-01-04,12535.8852
1_56_2013-01-04,915.7275
1_58_2013-01-04,2536.4496
1_59_2013-01-04,443.794
1_60_2013-01-04,1226.49
1_67_2013-01-04,7811.6227
1_71_2013-01-04,2755.9794
1_72_2013-01-04,41963.8578
1_74_2013-01-04,12334.197
1_79_2013-01-04,43073.4008
1_80_2013-01-04,18329.5375
1_81_2013-01-04,30189.3352
1_82_2013-01-04,20458.5827
1_83_2013-01-04,6170.5769
1_85_2013-01-04,3014.7587
1_87_2013-01-04,62018.3429
1_90_2013-01-04,88093.4232
1_91_2013-01-04,67138.7626
1_92_2013-01-04,100000
1_93_2013-01-04,76492.6516
1_94_2013-01-04,64823.3579
1_95_2013-01-04,99856.501
1_96_2013-01-04,29952.418
1_97_2013-01-04,35439.2866
1_98_2013-01-04,12055.0287
1_1_2013-01-11,18340.6119
1_2_2013-01-11,44817.2924
1_3_2013-01-11,13169.181
1_4_2013-01-11,36240.8405
1_5_2013-01-11,23270.4029
1_6_2013-01-11,2939.1057
1_7_2013-01-11,10762.4023
1_8_2013-01-11,35984.2278
1_9_2013-01-11,16874.9218
1_10_2013-01-11,26091.6856
1_11_2013-01-11,23545.113
1_12_2013-01-11,8027.993
1_13_2013-01-11,38248.9598
1_14_2013-01-11,14970.8929
1_16_2013-01-11,7376.5608
1_17_2013-01-11,8872.6933
1_18_2013-01-11,3856.6022
1_19_2013-01-11,755.0945
1_20_2013-01-11,4012.6233
1_21_2013-01-11,7430.0418
1_22_2013-01-11,8234.9954
1_23_2013-01-11,16449.276
1_24_2013-01-11,3995.2982
1_25_2013-01-11,6266.0579
1_26_2013-01-11,4306.142
1_27_2013-01-11,1699.7892
1_28_2013-01-11,637.4125
1_29_2013-01-11,4434.5512
1_30_2013-01-11,2454.0194
1_31_2013-01-11,2030.6337
1_32_2013-01-11,4972.6314
1_33_2013-01-11,3811.6213
1_34_2013-01-11,8769.9853
1_35_2013-01-11,2000.2561
1_36_2013-01-11,777.3589
1_37_2013-01-11,2791.4013
1_38_2013-01-11,78366.8218
1_40_2013-01-11,63477.1489
1_41_2013-01-11,445.7804
1_42_2013-01-11,7761.8322
1_44_2013-01-11,4235.4901
1_46_2013-01-11,16765.0651
1_48_2013-01-11,1088.34
1_49_2013-01-11,11586.1376
1_52_2013-01-11,1692.9578
1_55_2013-01-11,11622.0794
1_56_2013-01-11,1044.5458
1_58_2013-01-11,3033.4329
1_59_2013-01-11,240.0733
1_60_2013-01-11,1217.114
1_67_2013-01-11,7313.3599
1_71_2013-01-11,2416.0511
1_72_2013-01-11,38826.407
1_74_2013-01-11,12899.4157
1_79_2013-01-11,35169.045
1_80_2013-01-11,18573.9317
1_81_2013-01-11,30674.5035
1_82_2013-01-11,19112.188
1_83_2013-01-11,6519.7393
1_85_2013-01-11,3089.3099
1_87_2013-01-11,47953.3013
1_90_2013-01-11,90411.8962
1_91_2013-01-11,70870.3235
1_92_2013-01-11,100000
1_93_2013-01-11,81075.1254
1_94_2013-01-11,65306.7559
1_95_2013-01-11,100000
1_96_2013-01-11,30350.9658
1_97_2013-01-11,36570.76
1_98_2013-01-11,12043.5859
1_1_2013-01-18,17617.2079
1_2_2013-01-18,43088.8671
1_3_2013-01-18,12933.521
1_4_2013-01-18,35397.2894
1_5_2013-01-18,20112.8438
1_6_2013-01-18,2535.0252
1_7_2013-01-18,10418.4742
1_8_2013-01-18,35306.9305
1_9_2013-01-18,14000.8743
1_10_2013-01-18,24487.8188
1_11_2013-01-18,21225.8504
1_12_2013-01-18,7982.2942
1_13_2013-01-18,37498.4155
1_14_2013-01-18,13795.8879
1_16_2013-01-18,5747.6502
1_17_2013-01-18,8525.3393
1_18_2013-01-18,9924.9519
1_19_2013-01-18,951.9817
1_20_2013-01-18,3618.6765
1_21_2013-01-18,7112.4586
1_22_2013-01-18,7241.4193
1_23_2013-01-18,15969.4454
1_24_2013-01-18,5245.5055
1_25_2013-01-18,6352.3558
1_26_2013-01-18,4693.8125
1_27_2013-01-18,1857.3404
1_28_2013-01-18,792.1078
1_29_2013-01-18,4969.1009
1_30_2013-01-18,2726.729
1_31_2013-01-18,2816.0534
1_32_2013-01-18,4845.5625
1_33_2013-01-18,3686.1592
1_34_2013-01-18,7897.4076
1_35_2013-01-18,1871.7273
1_36_2013-01-18,644.7857
1_37_2013-01-18,2752.2874
1_38_2013-01-18,76699.9797
1_40_2013-01-18,60822.9918
1_41_2013-01-18,482.9516
1_42_2013-01-18,7267.2683
1_44_2013-01-18,4285.6226
1_45_2013-01-18,19.3043
1_46_2013-01-18,16212.238
1_48_2013-01-18,889.25
